CPU model on this node:
model name	: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz
Running Python script now!
         115778 function calls (113084 primitive calls) in 0.137 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1510(_get_spec)
      438    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
     1883    0.001    0.000    0.001    0.000 sre_parse.py:165(__getitem__)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
7665/7346    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1554(_IPv4Constants)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
     2061    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       92    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
  364/117    0.001    0.000    0.001    0.000 sre_parse.py:175(getwidth)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
     2373    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       20    0.000    0.000    0.001    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5698    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.001    0.000 arrayprint.py:1575(_array_str_implementation)
     2806    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       50    0.000    0.000    0.001    0.000 core.py:130(get_object_signature)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1078(path_stats)
      434    0.000    0.000    0.001    0.000 enum.py:462(__setattr__)
      143    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1566(_fill_cache)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2363(_IPv6Constants)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1568(_guarded_repr_or_str)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2287(__init__)
        1    0.000    0.000    0.000    0.000 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
     2045    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      314    0.000    0.000    0.000    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      334    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       69    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 charset.py:5(<module>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6801(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
     4040    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6806(getdoc)
        1    0.000    0.000    0.000    0.000 request.py:937(AbstractBasicAuthHandler)
      429    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     2833    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       11    0.000    0.000    0.000    0.000 _datasource.py:375(abspath)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
       20    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      358    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1487(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:130(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       14    0.000    0.000    0.000    0.000 re.py:223(split)
      336    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      107    0.000    0.000    0.000    0.000 re.py:188(match)
     1226    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      827    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
       23    0.000    0.000    0.000    0.000 parse.py:381(urlparse)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1913(__init__)
     1374    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1698    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      534    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      557    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      404    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       52    0.000    0.000    0.000    0.000 core.py:887(__init__)
        2    0.000    0.000    0.000    0.000 hashlib.py:84(__get_builtin_constructor)
      376    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       48    0.000    0.000    0.000    0.000 enum.py:977(__and__)
      406    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      405    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      557    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
      407    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      302    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       23    0.000    0.000    0.000    0.000 overrides.py:200(decorator)
      314    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 shutil.py:1(<module>)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       53    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(path_hook_for_FileFinder)
       14    0.000    0.000    0.000    0.000 core.py:8149(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      636    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      127    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      358    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      130    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8154(getdoc)
      452    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
      452    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 message.py:111(Message)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       23    0.000    0.000    0.000    0.000 parse.py:474(urlsplit)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1271(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1635(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      358    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
       12    0.000    0.000    0.000    0.000 _datasource.py:303(_isurl)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
     1241    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       22    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
     1241    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       69    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      992    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       53    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      361    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       20    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       22    0.000    0.000    0.000    0.000 _datasource.py:417(_sanitize_relative_path)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1172(_ip_int_from_string)
       69    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      373    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
       50    0.000    0.000    0.000    0.000 _internal.py:870(_ufunc_doc_signature_formatter)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     1009    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       85    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1476(__init__)
      110    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      314    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
      183    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      743    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
    61/46    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       68    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
     1067    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       56    0.000    0.000    0.000    0.000 ipaddress.py:532(_split_addr_prefix)
        4    0.000    0.000    0.000    0.000 re.py:203(sub)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 core.py:2703(MaskedArray)
       48    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:971(__or__)
      322    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      447    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      233    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
       26    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
